"","GEO.id","GEO.id2","GEO.display.label","Total_Pop","Male","Female","Age_0_14","Age_15_24","Age_25_64","Age_65_older","White_NonHisp","Black_NonHisp","Asian","Hisp","OtherRace","Median_Income_and_Benefits","Pct_Fam_Below_PovLine","Unemp_Rate"
"1","1400000US17031010100",17031010100,"Census Tract 101, Cook County, Illinois",5203,2190,3013,1234,787,2839,343,1404,2538,364,586,311,"31919","26.9","7.9"
"2","1400000US17031010201",17031010201,"Census Tract 102.01, Cook County, Illinois",6770,3471,3299,1317,1105,4006,342,1618,2774,593,1709,76,"41528","22.2","4.1"
"3","1400000US17031010202",17031010202,"Census Tract 102.02, Cook County, Illinois",2708,1391,1317,394,315,1660,339,964,885,50,584,225,"44107","15.0","8.4"
"4","1400000US17031010300",17031010300,"Census Tract 103, Cook County, Illinois",6282,3203,3079,867,690,3769,956,3029,1512,486,1085,170,"45964","15.7","4.5"
"5","1400000US17031010400",17031010400,"Census Tract 104, Cook County, Illinois",4737,2106,2631,381,1681,2413,262,2881,622,465,641,128,"48138","13.7","8.8"
"6","1400000US17031010501",17031010501,"Census Tract 105.01, Cook County, Illinois",4010,2077,1933,495,600,2590,325,1841,1596,214,288,71,"35411","20.8","4.1"
"7","1400000US17031010502",17031010502,"Census Tract 105.02, Cook County, Illinois",3834,1995,1839,345,1181,2127,181,1866,558,669,531,210,"31379","23.1","6.9"
"8","1400000US17031010503",17031010503,"Census Tract 105.03, Cook County, Illinois",2059,883,1176,86,823,712,438,1383,177,214,226,59,"18952","20.0","1.9"
"9","1400000US17031010600",17031010600,"Census Tract 106, Cook County, Illinois",6631,3482,3149,1039,999,4122,471,2533,1660,261,1944,233,"45474","16.3","5.0"
"10","1400000US17031010701",17031010701,"Census Tract 107.01, Cook County, Illinois",3913,2076,1837,864,315,2516,218,1587,622,57,1425,222,"59625","6.6","9.2"
"11","1400000US17031010702",17031010702,"Census Tract 107.02, Cook County, Illinois",5189,2821,2368,1138,524,3378,149,1270,1014,81,2773,51,"45861","30.6","3.9"
"12","1400000US17031020100",17031020100,"Census Tract 201, Cook County, Illinois",3580,1476,2104,754,363,1989,474,1214,1339,562,465,0,"54444","20.3","3.9"
"13","1400000US17031020200",17031020200,"Census Tract 202, Cook County, Illinois",6724,2936,3788,1630,864,3278,952,3613,1162,1330,506,113,"85154","10.9","4.3"
"14","1400000US17031020301",17031020301,"Census Tract 203.01, Cook County, Illinois",4694,2302,2392,1140,542,1784,1228,3639,229,232,528,66,"51912","5.3","4.0"
"15","1400000US17031020302",17031020302,"Census Tract 203.02, Cook County, Illinois",4711,2308,2403,853,469,2587,802,2632,435,728,744,172,"55000","12.4","6.8"
