type	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77
abandoned-vehicles	178.210979979	210.030302188	101.309392853	227.382067708	265.792198826	111.478467277	102.470522179	49.2023259281	150.174309466	200.145855279	367.415906948	215.042143938	295.577491495	176.167009429	310.648119269	369.384733597	366.784317466	314.315507225	220.845027495	191.523390644	310.733024298	262.395076314	204.001917511	219.49024758	200.580628134	196.655741348	274.225701366	113.336127257	171.251949209	120.194733125	216.947636221	172.796503091	47.2183263207	116.496154133	80.0526373506	135.180804326	205.146036161	202.015595786	167.591502718	121.191431254	106.304271641	225.779275484	170.159584695	261.376820936	198.330878743	198.730687865	161.179698217	246.886765132	202.380151953	263.481228669	138.328148785	241.732488499	189.538295504	49.3674791731	142.159983026	289.745892852	329.276487717	247.751719273	356.136305406	342.433624167	168.330441445	373.847258269	198.77675841	335.364536065	340.878429021	199.539800101	140.543585411	141.253996216	231.27415496	209.829361505	206.798924974	88.8489567735	192.503680217	72.2777981459	116.660752307	101.128880527	152.863537446
vacant-abandoned-buildings	9.0923969377	19.5991215146	13.8391114581	19.497126073	27.3009696551	9.3251949814	15.9086655437	8.3246359525	18.7717886833	25.389622667	24.7563659227	12.4270585693	17.2884947856	20.7597687323	29.7860395484	31.672257726	36.487646666	41.7101147028	54.4810332347	51.5793682527	57.8167184555	54.8144688217	239.511389663	46.4516756652	227.175832877	607.188489528	395.293431225	45.5531058108	351.971485854	54.7371607305	63.4627750287	4.4394358502	15.427769986	6.7209319692	69.6348283803	74.3494423792	427.677329624	155.045829723	51.5666162211	216.779039003	8.9560375375	264.532434709	176.504518362	193.696016501	225.822287678	504.198987115	504.115226337	211.410367796	354.333355745	202.04778157	198.557151367	72.4763475393	407.743415062	114.162295588	66.83640993	38.2464578565	61.9726722915	62.3787691765	65.334358186	58.4795321637	262.523379228	36.4459660942	84.7245199779	41.0562254203	47.9688202668	200.618393615	785.523165751	631.238990018	329.120912827	72.0527737884	283.938206512	47.419387042	190.616389235	41.3764206777	140.17033357	5.487613672	15.7463597601
graffiti-removal	1067.44740048	767.423758027	855.540967318	1244.01792723	1789.62563153	810.23228213	925.354045792	611.674370061	87.601680522	265.780730897	611.83590066	251.242705857	706.039819307	1539.5211672	1315.88796706	2483.74219907	427.59706191	677.044540444	2304.33181362	2112.75489804	3282.30859355	2909.56299543	939.935727855	2629.01892115	288.58842398	297.761235487	450.235814655	1158.32437456	546.057028291	3850.0151347	5637.5632531	1553.46105249	640.018700327	985.736688821	106.371312644	148.698884758	431.154381085	169.182361257	111.540832913	199.709823334	265.565982633	151.642796967	150.355700827	92.1748098492	133.52970054	780.819283287	27.4348422497	353.315957139	123.938232591	114.675767918	1209.87490899	2816.16179151	207.07564669	23.1410058624	996.180776575	1453.07565265	7120.8840439	4196.79068947	6156.80245965	2179.3789286	1606.91349122	3862.16798277	3522.83551411	880.764077964	1991.30565133	1331.34392752	223.912125053	203.236119267	130.973559904	762.152820038	108.528404079	94.3396226415	49.8244819386	80.1340805531	52.7856635912	93.289432424	741.671237239
potholes	899.056209198	727.113508104	314.396224407	494.518015851	539.743308124	401.937097321	545.885582382	433.129566125	1152.23026727	1009.64265457	749.764225086	1253.51199481	856.059338576	403.554382833	578.722475204	651.623905995	640.799389488	595.113957992	588.369759852	440.223910436	571.799704549	685.386929703	480.265610852	552.677659419	754.715065879	739.958891173	585.89001799	700.606767369	575.573624415	404.348703461	516.36892281	716.115152136	297.335203366	657.157792547	558.175238513	312.605610003	1453.40751043	617.447216015	378.342021187	882.478450115	432.615552354	496.630160067	641.607383196	729.018950625	1008.34560628	564.779793577	836.762688615	1014.33536056	714.4938255	921.501706485	1029.84975842	506.03246246	853.596843277	692.687442147	706.556333546	1034.10309159	956.469797655	467.950978663	815.398411478	364.324358132	644.027311445	906.179247888	616.884744573	783.093478543	851.14675461	529.948946574	663.850161949	520.649833627	849.334396663	660.159197683	685.842069631	1358.69022661	942.513116672	714.397946892	885.823278921	545.625587959	501.052706074
sanitation-code-complaints	121.11072721	138.861860944	72.3891983961	110.6525207	116.735180594	109.147168532	115.259841537	58.0239550718	101.01010101	163.411933123	122.209996856	75.1026583099	150.577212648	113.499670172	129.280768511	150.115257033	147.142993418	140.026813645	121.915598847	173.930427829	182.619326575	179.280405545	253.537631163	175.592198064	199.058001908	318.315649131	312.150532406	120.989049033	278.736912453	86.2677832711	116.301825603	67.6160229485	47.6858345021	108.281681727	75.1178857331	70.969922271	271.210013908	213.872041589	78.4709377277	177.519842963	44.7801876874	219.039595619	268.602191886	291.672038159	254.295532646	278.22296301	257.201646091	296.119316536	242.049351173	163.822525597	305.116155934	80.2881694297	267.107348825	94.1067571737	75.3235730957	130.095905891	120.212051071	102.935990125	184.473481937	170.435000156	171.259886878	120.382130432	97.5083972527	118.846968322	97.1368610403	232.616667865	466.13153077	371.240294904	398.135083737	254.132080524	353.691812158	122.292103424	342.35458423	117.320483947	185.415188077	49.388523048	77.8471718476
garbage-carts	115.655289047	313.863945956	57.8403889145	239.029701466	405.74889384	149.415055951	182.949653753	39.7594552955	706.176812372	684.439402534	547.390757623	617.030473309	374.2122581	192.076364906	529.754849978	293.296351131	667.270819422	572.769253687	401.305512871	270.291883247	328.307269115	316.385267409	734.335884097	286.127729948	809.63111842	1206.04410866	934.506734089	293.179788998	1058.97750056	287.30703259	336.045178786	7.5128914387	88.3590462833	227.764916735	154.073911613	179.114565732	966.620305981	341.556842537	193.374810829	206.537509601	112.145165687	319.292333614	357.431263219	667.139357999	994.599901816	582.40912879	836.762688615	869.533738778	944.888948654	677.133105802	849.82460785	489.540838469	934.875720886	239.123727245	495.438149798	365.949062672	389.009183902	412.625639217	473.99436331	460.330862808	532.032359105	385.995913634	501.32852058	384.199835775	386.448808275	702.523908823	1136.1780031	760.096561623	717.747377462	694.481633845	973.267956425	851.552360986	1030.83833465	620.646310166	828.158268275	159.140796488	106.155234338
rodent-baiting	183.120874325	491.507047344	173.521166744	334.236446965	693.821194339	433.197694134	673.46684135	145.122011828	146.59873067	260.64878589	172.901603269	199.913550897	449.500864425	232.62581972	377.081903811	398.245844187	253.028713155	636.079249218	279.770900271	179.128348661	568.743314146	640.189034359	410.844592795	429.009193054	395.781310271	576.634631409	592.697038946	245.804558955	488.416128314	154.373927959	135.033129246	136.598026159	146.797568957	157.568516168	91.0187520561	89.5572828658	931.849791377	316.475899494	94.7256319713	184.347529231	154.978388692	193.344566133	190.92482215	156.31042929	204.221894944	150.650682736	277.777777778	207.066319143	226.360967301	143.344709898	158.183863922	56.4187136533	180.769619912	29.311940759	42.4358158286	146.901167676	413.648921078	291.615235408	302.331539841	296.463082841	429.276426978	479.871886907	194.264801725	390.25022689	505.471443562	341.554612785	863.258695958	509.232074118	330.041101773	411.138969353	403.339966764	125.287012079	215.906088401	217.357146598	196.948190206	36.0614612731	178.694644468
street-lights-one-out	106.381044171	177.782102249	104.325609453	147.114678551	193.617221577	115.505256019	140.370578327	88.713284628	347.725037991	422.4401048	284.108770827	395.504646639	220.846578551	119.902215669	334.975984031	234.637080905	387.055232281	300.908684642	211.955348412	126.74930028	229.22928022	179.555164787	305.203913144	190.792353714	381.773148994	311.093828121	328.681869013	215.557296696	281.243038539	186.913530421	205.485196679	267.390636205	114.539504441	286.012993802	122.272178967	108.144643461	500.695410292	157.325915454	92.4836051791	216.779039003	132.004205444	227.464195451	253.797346664	493.425293283	564.555719195	426.309378806	538.40877915	786.272806255	492.167014052	413.651877133	638.69217023	413.158579984	518.700886985	199.012650417	578.187990664	421.5802741	289.703576495	151.648739199	221.624391494	193.889357976	242.467945107	276.658015351	148.643906352	472.36267773	244.640983361	257.244553103	410.083086889	311.215502055	422.980185265	421.362673742	473.09357241	598.482579615	702.449703695	464.044414183	586.852377573	146.597679523	106.686010509
street-lights-all-out	201.851212017	299.129854605	163.053120897	287.899121363	393.196723884	172.198202781	310.218978102	190.348392227	529.185661929	507.79245334	530.493555486	656.472876594	481.847080475	195.76267898	546.129374337	395.247287243	573.070685872	480.411142559	329.172116887	278.68852459	394.019662778	378.48085615	686.575644053	383.28712486	730.048521022	1133.27037387	1186.85272524	611.504892404	893.573178882	341.41358087	761.273728648	254.41382372	214.118747078	374.878649839	410.132689988	250.084488003	1105.70236439	531.715992521	360.966313547	1252.02696936	478.174525914	851.305812974	798.88482984	1295.92626015	1510.06381934	1529.58522982	1083.67626886	2110.48363742	1607.38698761	1036.1774744	1687.07392945	1099.73092613	1538.22805302	630.978093181	1163.8022491	758.265001594	321.809900694	357.961558808	527.799128875	373.080651718	725.150415756	529.018719973	429.137213616	616.707722892	399.040623595	639.965485008	1031.4040276	1138.83995563	1450.83123735	787.955502544	1045.07313871	926.924228811	1241.08255011	720.682972817	1128.90347764	224.208215742	245.572442101
alley-lights-out	79.2857012966	191.821189291	93.8575636067	185.602511838	247.277748141	80.005934215	97.4795682825	23.8556731773	448.735139001	401.642222402	375.275070732	281.499891939	192.404216162	194.016530208	312.36354563	226.016229689	408.7570352	330.701623715	206.113559301	165.133946421	226.936987418	218.570977181	336.98489072	197.115618464	332.947601356	366.090772735	362.23075801	118.802499954	290.432167521	176.571486227	176.689311974	23.5631595123	32.2580645161	205.361810171	83.8907774975	125.042244001	445.062586926	183.774909937	63.8977635783	180.933686097	61.5240839531	211.036225779	251.874639492	526.943405956	707.903780069	454.516315148	425.24005487	829.713292789	595.262108071	567.918088737	469.918591568	587.1886121	560.857981181	63.2520826905	684.277530236	624.402399096	394.98245352	292.937753483	262.618498591	241.736247928	245.622732497	468.827654757	255.677545496	799.515968711	425.423474741	271.446034371	446.134347275	272.721341424	481.565548126	424.283732139	454.424225017	329.939103524	585.060204582	276.017388572	425.390347764	18.0307306366	104.916756604
