Type,Service Request No,Created Date,Completed Date,Location,Outcome,x_coord,y_coord,zip_code,ward,police_district,community_area
Alley Light Out,12-00700160,1-Apr-12,19-Apr-12,5931 N ROCKWELL ST ,Remade Com Ed Connection,1157924.797,1939298.014,60659,40,20,2
Alley Light Out,12-00700210,1-Apr-12,1-May-12,4413 N KEYSTONE AVE ,Replaced Powerdoor,1148605.94,1928933.66,60630,39,17,14
Alley Light Out,12-00700258,1-Apr-12,13-Apr-12,12140 S NORMAL AVE ,Replaced Fixture,1175156.901,1824398.938,60628,34,5,53
Alley Light Out,12-00700343,1-Apr-12,20-Apr-12,1945 S KEDZIE AVE ,Replaced Fuse,1155336.428,1890226.072,60623,24,10,29
Alley Light Out,12-00700434,1-Apr-12,2-May-12,4651 N KENMORE AVE ,Replaced Fixture,1168400.691,1931101.64,60640,46,19,3
Alley Light Out,12-00701039,1-Apr-12,11-Jun-12,1131 N MOZART ST ,Replaced Powerdoor,1157180.695,1907397.028,60622,26,13,24
Alley Light Out,12-00701081,1-Apr-12,17-May-12,2446 N LAWNDALE AVE ,Replaced Powerdoor,1151303.868,1916009.025,60647,35,25,22
Alley Light Out,12-00701104,1-Apr-12,27-Apr-12,2557 W 117TH ST ,Replaced Photo Cell,1161380.592,1826963.311,60655,19,22,75
Alley Light Out,12-00701257,1-Apr-12,7-May-12,10834 S EBERHART AVE ,Replaced Fuseholder,1181500.256,1833223.946,60628,9,5,49
Alley Light Out,12-00701335,2-Apr-12,24-Apr-12,13530 S AVENUE L  ,Replaced Fuseholder,1202095.987,1815930.814,60633,10,4,55
Alley Light Out,12-00702361,2-Apr-12,20-Apr-12,4834 W CULLOM AVE ,Remade Com Ed Connection,1143369.327,1928151.51,60641,45,16,15
Alley Light Out,12-00702876,2-Apr-12,24-Apr-12,3301 W 63RD PL ,Relamped,1155479.388,1862321.764,60629,15,8,66
Alley Light Out,12-00703092,2-Apr-12,16-Apr-12,8723 S JUSTINE ST ,Remade Com Ed Connection,1167526.076,1846880.67,60620,21,22,71
Alley Light Out,12-00703359,2-Apr-12,11-Apr-12,4123 N MELVINA AVE ,Replaced Fixture,1134282.203,1926820.95,60634,38,16,15
Alley Light Out,12-00705861,2-Apr-12,19-Apr-12,11646 S LOOMIS ST ,Remade Com Ed Connection,1169091.152,1827519.621,60643,34,5,53
Alley Light Out,12-00706180,2-Apr-12,19-Apr-12,1028 W 104TH ST ,Replaced Powerdoor,1171300.743,1835854.9,60643,34,22,73
Alley Light Out,12-00706984,2-Apr-12,11-Apr-12,4508 N CENTRAL AVE ,Relamped,1138192.502,1929472.56,60630,38,16,15
Alley Light Out,12-00706992,2-Apr-12,18-Apr-12,4409 W WILCOX ST ,Replaced Fixture,1147020.427,1898972.64,60624,28,11,26
Alley Light Out,12-00707198,2-Apr-12,16-Apr-12,1122 N WALLER AVE ,Replaced Photo Cell,1138145.723,1906907.783,60651,29,15,25
Alley Light Out,12-00707252,2-Apr-12,12-Apr-12,3247 S HAMLIN AVE ,Relamped,1151555.51,1882805.802,60623,22,10,30
Alley Light Out,12-00707328,2-Apr-12,21-May-12,4356 N KENMORE AVE ,Replaced Fuseholder,1168384.39,1929080.607,60613,46,19,3
Alley Light Out,12-00707439,2-Apr-12,10-Apr-12,4814 W CORTEZ ST ,Remade Com Ed Connection,1143984.322,1906546.345,60651,37,15,25
Alley Light Out,12-00707512,3-Apr-12,19-Apr-12,11713 S ASHLAND AVE ,Remade Com Ed Connection,1167782.78,1827043.73,60643,34,5,53
Alley Light Out,12-00707567,3-Apr-12,8-May-12,650 W ARLINGTON PL ,Replaced Fixture,1171836.991,1916643.162,60614,43,19,7
