Type,Service Request No,Created Date,Completed Date,Location,Outcome,x_coord,y_coord,zip_code,ward,police_district,community_area
Street Lights - All/Out,12-00701072,1-Apr-12,4-Apr-12,4900 N MASON AVE ,Grounded Circuit,1135518.643,1932256.649,60630,45,16,11
Street Lights - All/Out,12-00701122,1-Apr-12,12-Apr-12,200 W 76TH ST ,Replaced Remote,1176264.677,1854582.843,60620,17,6,69
Street Lights - All/Out,12-00701133,1-Apr-12,4-Apr-12,2700 N MARMORA AVE ,Service Street Light Controller,1136595.846,1917339.638,60639,30,25,19
Street Lights - All/Out,12-00701197,1-Apr-12,4-Apr-12,2214 N SEMINARY AVE ,Replaced Remote,1168603.84,1914879.098,60614,32,18,7
Street Lights - All/Out,12-00701290,1-Apr-12,5-Apr-12,6135 N BROADWAY  ,Grounded Circuit,1167188.69,1940907.85,60660,48,24,77
Street Lights - All/Out,12-00701302,1-Apr-12,4-Apr-12,10800 S AVENUE H  ,Grounded Circuit,1202850.593,1833954.702,60617,10,4,52
Street Lights - All/Out,12-00701328,2-Apr-12,4-Apr-12,5522 N BERNARD ST ,Grounded Circuit,1152393.459,1936484.396,60625,39,17,13
Street Lights - All/Out,12-00701392,2-Apr-12,5-Apr-12,5100 W CONGRESS PKWY ,Service Street Light Controller,1142216.571,1897196.209,60644,29,15,25
Street Lights - All/Out,12-00701408,2-Apr-12,5-Apr-12,301 S HAMLIN BLVD ,Service Street Light Controller,1151110.978,1898419.18,60624,28,11,27
Street Lights - All/Out,12-00702190,2-Apr-12,4-Apr-12,4700 S CALIFORNIA AVE ,Service Street Light Controller,1158494.119,1873375.829,60632,14,9,58
Street Lights - All/Out,12-00705168,2-Apr-12,6-Apr-12,114 S HAMLIN BLVD ,Service Street Light Controller,1151087.314,1899224.824,60624,28,11,26
Street Lights - All/Out,12-00705935,2-Apr-12,11-Apr-12,8442 S SAGINAW AVE ,Grounded Circuit,1195298.267,1849507.622,60617,7,4,46
Street Lights - All/Out,12-00707183,2-Apr-12,12-Apr-12,4550 W FIFTH AVE ,Grounded Circuit,1146037.91,1895459.173,60624,24,11,26
Street Lights - All/Out,12-00707217,2-Apr-12,4-Apr-12,5000 W CONGRESS PKWY ,Replaced Powerdoor,1143342.971,1897223.477,60644,29,15,25
Street Lights - All/Out,12-00707220,2-Apr-12,6-Apr-12,2700 W BERWYN AVE ,Remade Splices,1157397.779,1935093.211,60625,40,20,4
Street Lights - All/Out,12-00707221,2-Apr-12,5-Apr-12,2800 N CALIFORNIA AVE ,Service Street Light Controller,1157229.595,1918486.817,60618,35,14,21
Street Lights - All/Out,12-00707300,2-Apr-12,5-Apr-12,1300 N DEARBORN ST ,Service Street Light Controller,1175695.674,1909049.178,60610,42,18,8
Street Lights - All/Out,12-00707390,2-Apr-12,4-Apr-12,8100 S SPAULDING AVE ,Replaced Photo Cell,1155791.1,1850701.496,60652,18,8,70
Street Lights - All/Out,12-00707516,3-Apr-12,10-Apr-12,6800 W BELMONT AVE ,Replaced Circuit Breaker,1130527.994,1920513.419,60634,36,16,17
Street Lights - All/Out,12-00707617,3-Apr-12,5-Apr-12,700 N PULASKI RD ,Replaced Remote,1149598.212,1904378.64,60624,28,11,23
Street Lights - All/Out,12-00707632,3-Apr-12,9-Apr-12,7523 W FOREST PRESERVE AVE ,Reset Breaker,1125104.251,1924730.428,60634,36,16,17
Street Lights - All/Out,12-00708896,3-Apr-12,4-Apr-12,9100 S LONGWOOD DR ,Replaced Remote,1165542.788,1844258.613,60643,19,22,72
Street Lights - All/Out,12-00711830,3-Apr-12,4-Apr-12,3800 N HAMLIN AVE ,Service Street Light Controller,1150385.208,1924991.968,60618,39,17,16
Street Lights - All/Out,12-00711892,3-Apr-12,9-Apr-12,3001 W EASTWOOD AVE ,Found Open Cables - Repaired,1155534.092,1930692.537,60625,33,17,14
Street Lights - All/Out,12-00711931,3-Apr-12,4-Apr-12,3900 N HAMLIN AVE ,Grounded Circuit,1150364.953,1925654.52,60618,39,17,16
Street Lights - All/Out,12-00711958,3-Apr-12,10-Apr-12,4650 N SACRAMENTO AVE ,Found Open in Temp - Repaired,1155537.392,1930802.737,60625,33,17,14
Street Lights - All/Out,12-00713375,3-Apr-12,6-Apr-12,500 N HOMAN AVE ,Found Open Cables - Repaired,1153622.799,1903212.757,60624,27,11,23
Street Lights - All/Out,12-00713386,3-Apr-12,8-Apr-12,12100 S LOOMIS ST ,Relamped,1169171.298,1824509.56,60643,34,5,53
Street Lights - All/Out,12-00713388,3-Apr-12,6-Apr-12,5942 N CENTRAL AVE ,Replaced Fixture,1138422.467,1939420.577,60646,45,16,11
Street Lights - All/Out,12-00713394,3-Apr-12,6-Apr-12,3323 N HARDING AVE ,Service Street Light Controller,1149475.23,1921804.301,60618,30,17,21
Street Lights - All/Out,12-00713396,3-Apr-12,10-Apr-12,2711 W POPE JOHN PAUL II DR ,Replaced Fixture,1158963.303,1876037.277,60632,12,9,58
Street Lights - All/Out,12-00713399,3-Apr-12,11-Apr-12,1029 E 45TH ST ,Replaced Circuit Breaker,1183999.2,1875387.437,60653,4,2,39
Street Lights - All/Out,12-00713410,3-Apr-12,8-Apr-12,9400 S THROOP ST ,Restrung Aerial,1169311.32,1842429.106,60620,21,22,73
Street Lights - All/Out,12-00713521,3-Apr-12,9-Apr-12,5230 N CALIFORNIA AVE ,Service Street Light Controller,1156746.031,1934750.012,60625,40,20,4
Street Lights - All/Out,12-00714574,4-Apr-12,10-Apr-12,3100 S INDIANA AVE ,Service Street Light Controller,1178109.044,1884493.08,60616,3,2,35
Street Lights - All/Out,12-00715517,4-Apr-12,9-Apr-12,4900 S MORGAN ST ,Grounded Circuit,1170475.548,1872296.434,60609,20,9,61
Street Lights - All/Out,12-00719344,4-Apr-12,4-Apr-12,5100 S NATOMA AVE ,Replaced Photo Cell,1132908.19,1870036.958,60638,23,8,56
Street Lights - All/Out,12-00719423,4-Apr-12,8-Apr-12,12141 S LOOMIS ST ,Replaced Fuse,1169202.207,1824081.661,60643,34,5,53
Street Lights - All/Out,12-00719430,4-Apr-12,11-Apr-12,4000 S CICERO AVE ,Remade Com Ed Connection,1145021.835,1877778.007,60638,14,10,56
Street Lights - All/Out,12-00719434,4-Apr-12,5-Apr-12,111 N PULASKI RD ,Service Street Light Controller,1149714.92,1900193.928,60624,28,11,26
Street Lights - All/Out,12-00719465,4-Apr-12,9-Apr-12,8100 S SPAULDING AVE ,Replaced Photo Cell,1155791.1,1850701.496,60652,18,8,70
Street Lights - All/Out,12-00719470,4-Apr-12,9-Apr-12,5500 S LAFAYETTE AVE ,Replaced Photo Cell,1176916.23,1868416.405,60621,3,2,40
Street Lights - All/Out,12-00719476,4-Apr-12,7-Apr-12,5300 S BISHOP ST ,Replaced Photo Cell,1167566.633,1869598.333,60609,16,9,61
Street Lights - All/Out,12-00719481,4-Apr-12,7-Apr-12,3700 W PALMER ST ,Restrung Aerial,1151350.795,1914368.917,60647,35,25,22
Street Lights - All/Out,12-00719523,4-Apr-12,10-Apr-12,4600 N HARDING AVE ,Grounded Circuit,1149230.88,1930277.318,60625,39,17,14
Street Lights - All/Out,12-00719575,4-Apr-12,5-Apr-12,10449 S NORMAL AVE ,Remade Splices,1174806.588,1835606.692,60628,34,22,49
Street Lights - All/Out,12-00719579,4-Apr-12,20-Apr-12,9100 S COMMERCIAL AVE ,Restrung Aerial,1197725.113,1845200.688,60617,10,4,46
Street Lights - All/Out,12-00719613,4-Apr-12,9-Apr-12,6200 N ST LOUIS AVE ,Service Street Light Controller,1151922.6,1940925.947,60659,50,17,13
Street Lights - All/Out,12-00719634,4-Apr-12,7-Apr-12,5800 S WOLCOTT AVE ,Found Open in Temp - Repaired,1164679.159,1866206.929,60636,15,7,67
Street Lights - All/Out,12-00719637,4-Apr-12,5-Apr-12,348 W 100TH ST ,Found Open Cables - Repaired,1175759.605,1838616.192,60628,9,5,49
Street Lights - All/Out,12-00719638,4-Apr-12,5-Apr-12,509 W 118TH ST ,Found Open in Temp - Repaired,1174993.117,1826649.899,60628,34,5,53
Street Lights - All/Out,12-00719640,4-Apr-12,6-Apr-12,5007 W DIVERSEY AVE ,Service Street Light Controller,1142521.013,1918152.36,60639,31,25,19
