Type,Service Request No,Created Date,Completed Date,Location,Outcome,x_coord,y_coord,zip_code,ward,police_district,community_area
Street Light - 1/Out,12-00700243,1-Apr-12,12-Apr-12,6306 N HERMITAGE AVE ,Relamped,1163629.111,1941739.893,60660,40,24,77
Street Light - 1/Out,12-00700246,1-Apr-12,25-Apr-12,3701 N MAGNOLIA AVE ,Replaced Fixture,1167299.315,1924712.795,60613,44,19,6
Street Light - 1/Out,12-00700248,1-Apr-12,19-Apr-12,2802 W BYRON ST ,Found Open Cables - Repaired,1156997.192,1925794.32,60618,33,17,16
Street Light - 1/Out,12-00700268,1-Apr-12,7-May-12,5159 W MADISON ST ,Found Open in Temp - Repaired,1141944.37,1899533.224,60644,28,15,25
Street Light - 1/Out,12-00700295,1-Apr-12,23-Aug-12,315 S AUSTIN BLVD ,Relamped,1136439.895,1897896.871,60644,29,15,25
Street Light - 1/Out,12-00700341,1-Apr-12,17-Apr-12,2100 S KEDZIE AVE ,Replaced Fixture,1155346.833,1889862.755,60623,24,10,30
Street Light - 1/Out,12-00700998,1-Apr-12,18-Apr-12,4021 N LOCKWOOD AVE ,Replaced Fixture,1140301.673,1926324.651,60641,38,16,15
Street Light - 1/Out,12-00701113,1-Apr-12,7-May-12,4500 S HARDING AVE ,Relamped,1150771.96,1874517.485,60632,14,8,57
Street Light - 1/Out,12-00701183,1-Apr-12,4-Apr-12,3552 W 75TH PL ,Relamped,1154038.822,1854313.07,60652,18,8,70
Street Light - 1/Out,12-00701255,1-Apr-12,9-Apr-12,7756 S TROY ST ,Replaced Socket,1156723.837,1852989.472,60652,18,8,70
Street Light - 1/Out,12-00701266,1-Apr-12,5-Apr-12,2246 N MANGO AVE ,Replaced Starter,1137686.754,1914351.65,60639,37,25,19
Street Light - 1/Out,12-00701470,2-Apr-12,13-Apr-12,3115 W JEROME ST ,Relamped,1154451.583,1949867.369,60645,50,24,2
Street Light - 1/Out,12-00701495,2-Apr-12,11-Apr-12,8551 S COLFAX AVE ,Relamped,1194981.763,1848776.622,60617,7,4,46
Street Light - 1/Out,12-00701529,2-Apr-12,5-Apr-12,1725 N MASON AVE ,Replaced Fixture,1136482.657,1910857.182,60639,29,25,25
Street Light - 1/Out,12-00701951,2-Apr-12,4-Apr-12,6815 W TALCOTT AVE ,Replaced Fixture,1129817.167,1936399.266,60656,41,16,10
Street Light - 1/Out,12-00702123,2-Apr-12,16-Apr-12,5224 N MCVICKER AVE ,Relamped,1134818.53,1934368.875,60630,45,16,11
Street Light - 1/Out,12-00705531,2-Apr-12,10-Apr-12,11929 S STEWART AVE ,Replaced Refractor,1175771.259,1825810.902,60628,34,5,53
Street Light - 1/Out,12-00705903,2-Apr-12,19-Apr-12,4930 N MILWAUKEE AVE ,Remade Splices,1139351.482,1932315.501,60630,45,16,11
Street Light - 1/Out,12-00706133,2-Apr-12,12-Apr-12,4902 N MAGNOLIA AVE ,Relamped,1167050.034,1932962.11,60640,46,20,3
Street Light - 1/Out,12-00707231,2-Apr-12,11-Apr-12,6928 S INDIANA AVE ,Relamped,1178794.164,1858983.11,60637,6,3,69
Street Light - 1/Out,12-00707326,2-Apr-12,11-Apr-12,1234 W HOLLYWOOD AVE ,Replaced Fixture,1166926.574,1937987.507,60660,48,20,77
Street Light - 1/Out,12-00707602,3-Apr-12,11-Apr-12,3900 S WESTERN BLVD ,Replaced Photo Cell,1161170.431,1878759.704,60609,12,9,58
Street Light - 1/Out,12-00707605,3-Apr-12,4-Apr-12,3537 W 71ST PL ,Relamped,1154051.669,1856971.518,60629,18,8,66
Street Light - 1/Out,12-00707610,3-Apr-12,18-Apr-12,2000 E 76TH ST ,Remade Splices,1190856.624,1854972.629,60649,8,4,43
Street Light - 1/Out,12-00707621,3-Apr-12,13-Apr-12,5880 N ELSTON AVE ,Replaced Starter,1136091.791,1938846.091,60646,45,16,11
Street Light - 1/Out,12-00707684,3-Apr-12,12-Apr-12,2729 W BIRCHWOOD AVE ,Restrung Aerial,1156907.609,1949626.133,60645,50,24,2
Street Light - 1/Out,12-00707824,3-Apr-12,16-Apr-12,4103 W 26TH ST ,Relamped,1149421.92,1886406.404,60623,22,10,30
Street Light - 1/Out,12-00707867,3-Apr-12,17-Apr-12,3859 W 26TH ST ,Relamped,1150997.077,1886444.665,60623,22,10,30
Street Light - 1/Out,12-00707872,3-Apr-12,17-Apr-12,3748 W 26TH ST ,Relamped,1151710.014,1886461.914,60623,22,10,30
Street Light - 1/Out,12-00707930,3-Apr-12,24-Apr-12,3651 W 26TH ST ,Replaced Fixture,1152367.817,1886479.953,60623,22,10,30
Street Light - 1/Out,12-00707986,3-Apr-12,26-Apr-12,3442 W 26TH ST ,Replaced Fixture,1153734.572,1886514.396,60623,22,10,30
Street Light - 1/Out,12-00708004,3-Apr-12,17-Apr-12,3303 W 26TH ST ,Replaced Fixture,1154748.064,1886540.411,60623,22,10,30
Street Light - 1/Out,12-00708051,3-Apr-12,10-Apr-12,5617 S MAYFIELD AVE ,Relamped,1137997.178,1866731.599,60638,23,8,56
Street Light - 1/Out,12-00708575,3-Apr-12,4-Apr-12,1230 W 112TH PL ,Relamped,1170136.992,1830139.287,60643,34,22,75
Street Light - 1/Out,12-00709200,3-Apr-12,11-Apr-12,7859 S CALUMET AVE ,Replaced Fuse,1179835.077,1852971.318,60619,6,6,69
Street Light - 1/Out,12-00709661,3-Apr-12,10-Apr-12,5445 S KILBOURN AVE ,Relamped,1147288.583,1868085.93,60632,23,8,62
Street Light - 1/Out,12-00711322,3-Apr-12,17-Apr-12,2823 W 40TH PL ,Relamped,1158207.286,1877655.983,60632,14,9,58
Street Light - 1/Out,12-00713212,3-Apr-12,20-Apr-12,5745 S WOOD ST ,Relamped,1165330.774,1866585.072,60636,15,7,67
Street Light - 1/Out,12-00713259,3-Apr-12,12-Apr-12,6140 N KNOX AVE ,Replaced Fixture,1144502.457,1940162.709,60646,39,17,12
Street Light - 1/Out,12-00713402,3-Apr-12,11-Apr-12,9660 S OGLESBY AVE ,Replaced Photo Cell,1193744.149,1841353.12,60617,7,4,51
Street Light - 1/Out,12-00713484,3-Apr-12,10-Apr-12,3457 W 64TH ST ,Relamped,1154451.385,1861961.621,60629,15,8,66
Street Light - 1/Out,12-00713680,4-Apr-12,12-Apr-12,8600 S ASHLAND AVE ,Relamped,1167171.957,1847689.596,60620,18,6,71
Street Light - 1/Out,12-00713683,4-Apr-12,10-Apr-12,5733 S KEELER AVE ,Relamped,1149350.043,1866144.07,60629,13,8,62
Street Light - 1/Out,12-00713715,4-Apr-12,5-Apr-12,3412 N CALIFORNIA AVE ,Relamped,1157114.929,1922476.943,60618,33,17,21
Street Light - 1/Out,12-00713747,4-Apr-12,16-Apr-12,2614 W 79TH PL ,Restrung Aerial,1160252.319,1851827.138,60652,18,8,70
Street Light - 1/Out,12-00713748,4-Apr-12,13-Apr-12,10527 S LOWE AVE ,Found Low Voltage - Repaired,1173841.3,1834921.377,60628,34,22,49
Street Light - 1/Out,12-00713756,4-Apr-12,16-Apr-12,6500 S WENTWORTH AVE ,Relamped,1176073.613,1861966.78,60621,20,7,68
Street Light - 1/Out,12-00713852,4-Apr-12,18-Jul-12,101 S STATE ST ,Relamped,1176400.993,1899911.28,60603,42,1,32
Street Light - 1/Out,12-00713886,4-Apr-12,1-May-12,4747 W BERENICE AVE ,Replaced Fuse,1144049.314,1925168.05,60641,38,17,15
Street Light - 1/Out,12-00714731,4-Apr-12,13-Apr-12,4410 W WILSON AVE ,Found Open Cables - Repaired,1145902.608,1930204.315,60630,45,17,16
